time hours since 1900-01-01 00:00:00.0,u10 m s**-1,v10 m s**-1,msl Pa,Distance Weight,surge 
973008,9.304976059,0.647637142,101466.5237,1,0.040876
973008,11.28472128,0.23470647,101549.9479,0.925526537,0.040876
973008,9.304976059,1.105641231,101377.5539,0.668373483,0.040876
973008,7.498699471,1.067837719,101748.3817,0.654728369,0.040876
973008,7.834622861,0.971874958,101808.9004,0.624853823,0.040876
973008,12.05293953,-0.053181815,101618.9054,0.582631894,0.040876
973008,7.629489316,1.352818042,101671.7086,0.46780441,0.040876
973008,10.86344031,-0.133150783,101140.7835,0.445078097,0.040876
973008,12.87485044,-0.758362715,101236.7454,0.424268478,0.040876
973008,8.675808071,0.804667115,101865.3202,0.40302331,0.040876
973008,9.675317829,1.56219134,101292.2008,0.315545264,0.040876
973008,11.48710136,0.51677883,101039.9994,0.306709763,0.040876
973008,13.61691072,-1.552236471,101342.3518,0.255047385,0.040876
973008,12.20575713,-0.547535436,101679.183,0.228715459,0.040876
973008,8.034249466,1.544743565,101602.2688,0.179782517,0.040876
973008,8.966299199,0.419362087,101917.6412,0.102612387,0.040876
973008,12.95470109,1.03294217,100944.0374,0.067415409,0.040876
973008,6.205945115,1.278664999,101987.3221,0.056911339,0.040876
973008,5.651120827,1.31501453,102034.5797,0.042484737,0.040876
973008,13.58386907,-2.049498054,101419.266,0,0.040876
973014,7.641879933,-3.99492495,101162.4834,1,0.47706
973014,8.673054601,-5.789137797,101285.6909,0.925526537,0.47706
973014,8.085188668,-3.164701663,101033.4894,0.668373483,0.47706
973014,7.395444331,-1.879382249,101364.2928,0.654728369,0.47706
973014,7.3238541,-2.442072988,101462.907,0.624853823,0.47706
973014,8.936011025,-6.805470682,101394.9139,0.582631894,0.47706
973014,7.752018749,-1.246900411,101250.4887,0.46780441,0.47706
973014,8.5009627,-5.28751427,100946.9308,0.445078097,0.47706
973014,9.519746751,-7.23730311,101083.1581,0.424268478,0.47706
973014,7.581303584,-3.240308688,101555.9756,0.40302331,0.47706
973014,8.991080433,-2.642722399,100903.5309,0.315545264,0.47706
973014,9.730387237,-4.812062406,100797.4423,0.306709763,0.47706
973014,9.701475798,-8.526984467,101233.3699,0.255047385,0.47706
973014,8.472051261,-7.411780858,101492.5636,0.228715459,0.47706
973014,8.22836913,-0.873227233,101147.2935,0.179782517,0.47706
973014,7.25501734,-3.79572952,101642.052,0.102612387,0.47706
973014,11.35768825,-5.152294015,100639.0328,0.067415409,0.47706
973014,7.194440991,-0.08226144,101583.2211,0.056911339,0.47706
973014,6.700193053,-0.182586145,101663.2697,0.042484737,0.47706
973014,9.295338913,-9.198723799,101352.7195,0,0.47706
973020,6.439990099,-4.639038638,101316.553,1,0.33332
973020,7.491815795,-6.607729234,101438.0726,0.925526537,0.33332
973020,6.639616704,-4.003648837,101191.4167,0.668373483,0.33332
973020,6.011825451,-3.484577536,101475.927,0.654728369,0.33332
973020,5.713073912,-4.252279629,101581.2922,0.624853823,0.33332
973020,7.856650625,-7.827619492,101552.8412,0.582631894,0.33332
973020,6.395934573,-2.998947802,101357.3006,0.46780441,0.33332
973020,6.422092542,-5.395108882,101159.8312,0.445078097,0.33332
973020,7.582680319,-7.574626757,101285.932,0.424268478,0.33332
973020,5.773650261,-5.203183358,101682.3175,0.40302331,0.33332
973020,7.257770811,-3.839348958,101069.1737,0.315545264,0.33332
973020,7.007205004,-5.069417085,101033.7305,0.306709763,0.33332
973020,8.226992394,-9.194361856,101419.266,0.255047385,0.33332
973020,7.445006798,-8.348144775,101658.4475,0.228715459,0.33332
973020,6.965902947,-2.902985041,101242.291,0.179782517,0.33332
973020,5.298676615,-5.707714848,101778.5205,0.102612387,0.33332
973020,7.917226973,-5.656825505,100906.6653,0.067415409,0.33332
973020,5.640106946,-2.200712103,101623.2454,0.056911339,0.33332
973020,4.891162995,-2.404269476,101709.804,0.042484737,0.33332
973020,8.224238924,-9.967879874,101538.6157,0,0.33332
973026,3.77876095,-4.541621895,101472.0692,1,0.25079
973026,4.783777649,-7.769460243,101574.3,0.925526537,0.25079
973026,3.934332028,-3.288290069,101372.0084,0.668373483,0.25079
973026,4.038963903,-3.445320042,101613.3599,0.654728369,0.25079
973026,3.782891155,-4.506726346,101710.2863,0.624853823,0.25079
973026,5.227086385,-9.863193225,101679.183,0.582631894,0.25079
973026,4.296413387,-2.495870294,101512.5757,0.46780441,0.25079
973026,3.674129074,-4.515450233,101345.9685,0.445078097,0.25079
973026,4.851237674,-7.997735297,101449.4048,0.424268478,0.25079
973026,3.730575218,-5.655371523,101805.0427,0.40302331,0.25079
973026,4.643350658,-2.805568298,101278.4575,0.315545264,0.25079
973026,4.273008888,-3.872790526,101251.4532,0.306709763,0.25079
973026,5.684162472,-10.45496359,101563.9323,0.255047385,0.25079
973026,5.136221861,-10.77338548,101783.5838,0.228715459,0.25079
973026,4.734215181,-2.048044073,101417.5782,0.179782517,0.25079
973026,3.419433061,-6.094473857,101901.0046,0.102612387,0.25079
973026,4.781024178,-4.215930098,101163.4479,0.067415409,0.25079
973026,3.938462233,-2.175994422,101761.6428,0.056911339,0.25079
973026,3.225313398,-2.27922709,101844.8259,0.042484737,0.25079
973026,6.031099744,-11.91621473,101677.4953,0,0.25079
973032,3.460735118,-3.052745108,101543.1968,1,0.17741
973032,4.701173537,-6.459423148,101630.9609,0.925526537,0.17741
973032,3.437330619,-2.037866204,101466.0414,0.668373483,0.17741
973032,4.273008888,-2.175994422,101671.2264,0.654728369,0.17741
973032,4.092656576,-3.227222857,101760.6783,0.624853823,0.17741
973032,5.313820702,-8.973356707,101727.8873,0.582631894,0.17741
973032,4.197288452,-1.454819728,101589.2488,0.46780441,0.17741
973032,3.058728438,-3.46567578,101445.0648,0.445078097,0.17741
973032,4.370757088,-7.171873954,101534.2757,0.424268478,0.17741
973032,4.273008888,-4.646308544,101850.1303,0.40302331,0.17741
973032,4.132581897,-1.861934474,101397.0839,0.315545264,0.17741
973032,3.810425859,-2.977138084,101370.5617,0.306709763,0.17741
973032,5.12796145,-9.994051536,101638.9176,0.255047385,0.17741
973032,5.284909263,-10.45787155,101829.877,0.228715459,0.17741
973032,4.354236265,-1.412654272,101510.6469,0.179782517,0.17741
973032,4.073382283,-5.547776912,101945.3689,0.102612387,0.17741
973032,4.686029449,-3.164701663,101294.6119,0.067415409,0.17741
973032,4.440970583,-1.217820786,101817.8215,0.056911339,0.17741
973032,4.209679069,-1.408292328,101901.2457,0.042484737,0.17741
973032,5.403308491,-12.05870489,101747.8995,0,0.17741
973038,3.016049647,-3.749202121,101652.4198,1,-0.17334
973038,4.164246807,-6.533576191,101739.2195,0.925526537,-0.17334
973038,2.696647079,-2.586017131,101575.2644,0.668373483,-0.17334
973038,3.486893086,-3.173425551,101745.7295,0.654728369,-0.17334
973038,3.323061597,-4.252279629,101842.1737,0.624853823,-0.17334
973038,4.904930347,-8.718909991,101836.387,0.582631894,-0.17334
973038,3.243210955,-2.216705896,101662.0642,0.46780441,-0.17334
973038,2.688386668,-3.391522736,101576.47,0.445078097,-0.17334
973038,3.953606321,-6.219516243,101658.9298,0.424268478,-0.17334
973038,3.562613523,-5.441636281,101938.6178,0.40302331,-0.17334
973038,3.113797846,-2.543851675,101505.5835,0.315545264,-0.17334
973038,2.861855304,-3.07891677,101507.7535,0.306709763,-0.17334
973038,4.957246285,-8.509536693,101748.8639,0.255047385,-0.17334
973038,4.994418135,-9.331036092,101940.0645,0.228715459,-0.17334
973038,3.360233448,-1.898284005,101583.2211,0.179782517,-0.17334
973038,3.356103242,-5.605936161,102037.9553,0.102612387,-0.17334
973038,3.250094631,-3.87715247,101439.5193,0.067415409,-0.17334
973038,3.957736526,-2.395545589,101864.3558,0.056911339,-0.17334
973038,3.529571878,-2.427533176,101953.5667,0.042484737,-0.17334
973038,5.485912603,-9.944616174,101850.1303,0,-0.17334
973044,3.787021361,-3.592172147,101777.7972,1,0.022045
973044,4.953116079,-5.853112972,101856.6403,0.925526537,0.022045
973044,3.658984987,-2.328662452,101712.9385,0.668373483,0.022045
973044,4.325324826,-2.825924035,101882.198,0.654728369,0.022045
973044,4.31844115,-3.785551652,101964.6577,0.624853823,0.022045
973044,5.719957588,-7.494657789,101941.5111,0.582631894,0.022045
973044,4.334961972,-2.066945829,101809.8649,0.46780441,0.022045
973044,3.418056326,-3.497663367,101697.0252,0.445078097,0.022045
973044,4.48777958,-5.924358052,101773.9394,0.424268478,0.022045
973044,4.776893973,-4.777166856,102046.8764,0.40302331,0.022045
973044,3.642464165,-1.841578737,101660.1353,0.315545264,0.022045
973044,3.448344501,-2.545305656,101642.5342,0.306709763,0.022045
973044,5.017822634,-8.042808715,101854.9525,0.255047385,0.022045
973044,5.761259644,-8.005005203,102030.9631,0.228715459,0.022045
973044,4.306050533,-2.168724516,101743.8006,0.179782517,0.022045
973044,4.69153639,-5.02870561,102132.9528,0.102612387,0.022045
973044,3.917811205,-2.616550737,101592.6244,0.067415409,0.022045
973044,4.808558882,-1.841578737,102002.0298,0.056911339,0.022045
973044,4.403798732,-1.838670775,102081.1141,0.042484737,0.022045
973044,5.338601936,-9.363023679,101944.4045,0,0.022045
973050,2.587884998,-2.344656245,101853.2647,1,-0.24371
973050,3.237704015,-4.87603758,101913.5423,0.925526537,-0.24371
