DATE,PRCP,TMAX,TMIN,drougth
01/01/1948,0.47,51,42,True
02/01/1948,0.59,45,36,True
03/01/1948,0.42,45,35,True
04/01/1948,0.31,45,34,True
05/01/1948,0.17,45,32,True
06/01/1948,0.44,48,39,True
07/01/1948,0.41,50,40,True
08/01/1948,0.04,48,35,True
09/01/1948,0.12,50,31,True
10/01/1948,0.74,43,34,True
11/01/1948,0.01,42,32,True
12/01/1948,0.0,41,26,False
13/01/1948,0.0,45,29,False
14/01/1948,0.0,38,26,False
15/01/1948,0.0,34,31,False
16/01/1948,0.0,34,28,False
17/01/1948,0.0,35,29,False
18/01/1948,0.0,33,28,False
19/01/1948,0.0,34,27,False
20/01/1948,0.0,36,29,False
21/01/1948,0.0,48,32,False
22/01/1948,0.21,47,44,True
23/01/1948,0.0,47,43,False
24/01/1948,0.1,45,34,True
25/01/1948,0.0,46,30,False
26/01/1948,0.0,45,32,False
27/01/1948,0.0,53,33,False
28/01/1948,0.0,53,25,False
29/01/1948,0.22,42,34,True
30/01/1948,0.03,47,30,True
31/01/1948,0.21,35,27,True
01/02/1948,0.03,39,30,True
02/02/1948,0.0,43,26,False
03/02/1948,0.2,38,26,True
04/02/1948,0.14,39,31,True
05/02/1948,0.0,36,26,False
06/02/1948,0.0,43,20,False
07/02/1948,0.06,43,27,True
08/02/1948,0.56,44,35,True
09/02/1948,0.0,45,32,False
10/02/1948,0.0,39,27,False
11/02/1948,0.0,46,23,False
12/02/1948,0.0,43,26,False
13/02/1948,0.0,47,35,False
14/02/1948,0.5,46,39,True
15/02/1948,0.35,45,37,True
16/02/1948,0.84,52,37,True
17/02/1948,0.13,57,46,True
18/02/1948,0.01,49,32,True
19/02/1948,0.0,45,30,False
20/02/1948,0.74,45,35,True
21/02/1948,0.46,49,37,True
22/02/1948,0.11,47,38,True
23/02/1948,0.0,47,36,False
24/02/1948,0.05,44,36,True
25/02/1948,0.98,47,41,True
26/02/1948,0.09,49,37,True
27/02/1948,0.0,47,35,False
28/02/1948,0.0,50,32,False
29/02/1948,0.0,46,34,False
01/03/1948,0.19,47,32,True
02/03/1948,0.0,50,31,False
03/03/1948,0.0,52,28,False
04/03/1948,0.0,57,31,False
05/03/1948,0.0,47,40,False
06/03/1948,0.06,47,41,True
07/03/1948,0.16,42,34,True
08/03/1948,0.11,42,33,True
09/03/1948,0.0,47,33,False
10/03/1948,0.0,51,31,False
11/03/1948,0.08,51,31,True
12/03/1948,0.06,60,37,True
13/03/1948,0.02,54,35,True
14/03/1948,0.0,52,34,False
15/03/1948,0.0,52,36,False
16/03/1948,0.0,50,33,False
17/03/1948,0.01,50,36,True
18/03/1948,0.13,48,35,True
19/03/1948,0.0,47,33,False
20/03/1948,0.06,44,33,True
21/03/1948,2.04,46,37,True
22/03/1948,0.03,44,30,True
23/03/1948,0.0,54,31,False
24/03/1948,0.4,54,36,True
25/03/1948,0.33,50,35,True
26/03/1948,0.0,56,36,False
27/03/1948,0.0,70,38,False
28/03/1948,0.0,64,39,False
29/03/1948,0.0,49,39,False
30/03/1948,0.0,54,38,False
31/03/1948,0.0,53,40,False
01/04/1948,0.17,46,37,True
02/04/1948,0.34,45,33,True
03/04/1948,0.03,47,32,True
04/04/1948,0.19,49,31,True
05/04/1948,0.08,51,32,True
06/04/1948,0.09,44,34,True
07/04/1948,0.0,55,30,False
08/04/1948,0.11,59,32,True
09/04/1948,0.54,50,39,True
10/04/1948,0.18,53,38,True
11/04/1948,0.0,51,38,False
12/04/1948,0.03,50,39,True
13/04/1948,0.01,59,39,True
14/04/1948,0.0,63,42,False
15/04/1948,0.33,65,47,True
16/04/1948,0.0,62,43,False
17/04/1948,0.37,54,44,True
18/04/1948,0.0,58,41,False
19/04/1948,0.0,61,37,False
20/04/1948,0.0,66,39,False
21/04/1948,0.09,55,44,True
22/04/1948,0.24,57,43,True
23/04/1948,0.02,55,42,True
24/04/1948,0.7,46,40,True
25/04/1948,0.02,49,34,True
26/04/1948,0.0,50,32,False
27/04/1948,0.0,53,31,False
28/04/1948,0.05,45,38,True
29/04/1948,0.0,54,33,False
30/04/1948,0.16,56,35,True
01/05/1948,0.01,58,38,True
02/05/1948,0.08,57,35,True
03/05/1948,0.59,53,42,True
04/05/1948,0.0,57,42,False
05/05/1948,0.56,55,45,True
06/05/1948,0.27,58,42,True
07/05/1948,0.0,59,40,False
08/05/1948,0.02,54,42,True
09/05/1948,0.0,52,41,False
10/05/1948,0.26,57,43,True
11/05/1948,0.0,63,44,False
12/05/1948,0.39,56,42,True
13/05/1948,0.14,55,43,True
14/05/1948,0.03,58,43,True
15/05/1948,0.0,64,43,False
16/05/1948,0.29,60,47,True
17/05/1948,0.0,62,43,False
18/05/1948,0.01,60,45,True
19/05/1948,0.1,60,40,True
20/05/1948,0.0,73,44,False
21/05/1948,0.0,62,47,False
22/05/1948,0.0,65,48,False
23/05/1948,0.0,66,50,False
24/05/1948,0.0,80,51,False
25/05/1948,0.0,73,51,False
26/05/1948,0.0,69,48,False
27/05/1948,0.83,60,50,True
28/05/1948,0.88,53,48,True
29/05/1948,0.3,58,48,True
30/05/1948,0.0,69,44,False
31/05/1948,0.0,77,46,False
01/06/1948,0.0,71,46,False
02/06/1948,0.0,76,49,False
03/06/1948,0.01,67,52,True
04/06/1948,0.0,70,49,False
05/06/1948,0.0,75,48,False
06/06/1948,0.0,82,53,False
07/06/1948,0.0,87,59,False
08/06/1948,0.0,87,60,False
09/06/1948,0.0,81,57,False
10/06/1948,0.0,76,55,False
11/06/1948,0.92,60,53,True
12/06/1948,0.18,68,50,True
13/06/1948,0.11,68,51,True
14/06/1948,0.0,72,50,False
15/06/1948,0.0,71,50,False
